@relation aux
@attribute Sex {'female','male'}
@attribute DVRT numeric
@attribute Educational_level {'3rd_level_complete','3rd_level_incomplete','Junior_cycle_incomplete-secondary_school','Junior_cycle_incomplete-vocational_school','Junior_cycle_terminal_leaver-secondary_school','Junior_cycle_terminal_leaver-vocational_school','Primary_terminal_leaver','Senior_cycle_incomplete-secondary_school','Senior_cycle_incomplete-vocational_school','Senior_cycle_terminal_leaver-secondary_school'}
@attribute Prestige_score numeric
@attribute Type_school {'primary_terminal_leaver','secondary','vocational'}
@attribute class {'1','2'}
@data
'female',91,'3rd_level_complete',58,'secondary','2'
'female',97,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'female',109,'3rd_level_incomplete',43,'secondary','2'
'female',100,'Junior_cycle_incomplete-secondary_school',37,'secondary','1'
'female',98,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'female',85,'Senior_cycle_incomplete-secondary_school',35,'secondary','1'
'female',91,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'female',85,'Junior_cycle_terminal_leaver-secondary_school',31,'secondary','1'
'female',81,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',87,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',95,'3rd_level_complete',37,'secondary','2'
'female',102,'Junior_cycle_incomplete-secondary_school',37,'secondary','1'
'female',94,'Primary_terminal_leaver',38,'primary_terminal_leaver','1'
'female',89,'Senior_cycle_incomplete-secondary_school',37,'secondary','1'
'female',112,'Junior_cycle_incomplete-vocational_school',37,'vocational','1'
'female',118,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',70,'Senior_cycle_incomplete-secondary_school',37,'secondary','1'
'female',103,'3rd_level_complete',37,'secondary','2'
'female',90,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',97,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',104,'Senior_cycle_incomplete-vocational_school',37,'vocational','1'
'female',91,'Junior_cycle_incomplete-vocational_school',37,'vocational','1'
'female',94,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'female',107,'Junior_cycle_incomplete-secondary_school',57,'secondary','1'
'female',90,'Junior_cycle_incomplete-secondary_school',37,'secondary','1'
'female',70,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',97,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'female',104,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',96,'Junior_cycle_terminal_leaver-secondary_school',28,'secondary','1'
'female',81,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',114,'Senior_cycle_terminal_leaver-secondary_school',28,'secondary','2'
'female',106,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'female',105,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',92,'Junior_cycle_incomplete-vocational_school',28,'vocational','1'
'female',96,'Senior_cycle_terminal_leaver-secondary_school',38,'secondary','2'
'female',84,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'female',89,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',111,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'female',102,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'female',99,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'female',104,'Junior_cycle_incomplete-secondary_school',37,'secondary','1'
'female',70,'Junior_cycle_terminal_leaver-vocational_school',31,'vocational','1'
'female',70,'Junior_cycle_terminal_leaver-vocational_school',35,'vocational','1'
'female',90,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',104,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',102,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',86,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',73,'Senior_cycle_terminal_leaver-secondary_school',35,'secondary','2'
'female',81,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'female',93,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'female',111,'Senior_cycle_incomplete-secondary_school',37,'secondary','1'
'female',104,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'female',105,'Junior_cycle_terminal_leaver-secondary_school',28,'secondary','1'
'female',73,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'female',85,'Senior_cycle_terminal_leaver-secondary_school',28,'secondary','2'
'female',107,'3rd_level_complete',61,'secondary','2'
'female',112,'3rd_level_complete',62,'secondary','2'
'male',127,'3rd_level_complete',40,'secondary','2'
'male',114,'Junior_cycle_terminal_leaver-secondary_school',66,'secondary','1'
'male',114,'Senior_cycle_terminal_leaver-secondary_school',71,'secondary','2'
'male',109,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'male',93,'Senior_cycle_terminal_leaver-secondary_school',51,'secondary','2'
'female',114,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'female',100,'Senior_cycle_terminal_leaver-secondary_school',31,'secondary','2'
'female',92,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'female',110,'Senior_cycle_terminal_leaver-secondary_school',61,'secondary','2'
'female',93,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'female',96,'Junior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',120,?,75,'secondary','1'
'male',114,'3rd_level_complete',75,'secondary','2'
'male',127,'3rd_level_complete',40,'secondary','2'
'male',106,'Senior_cycle_terminal_leaver-secondary_school',75,'secondary','2'
'male',110,'Senior_cycle_terminal_leaver-secondary_school',53,'secondary','2'
'male',92,'Senior_cycle_incomplete-vocational_school',38,'vocational','1'
'male',125,'3rd_level_complete',71,'secondary','2'
'male',108,'Senior_cycle_terminal_leaver-secondary_school',71,'secondary','2'
'female',112,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',93,'Senior_cycle_terminal_leaver-secondary_school',69,'secondary','2'
'female',114,'Senior_cycle_terminal_leaver-secondary_school',75,'secondary','2'
'female',104,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',92,'Senior_cycle_terminal_leaver-secondary_school',75,'secondary','2'
'female',104,'Junior_cycle_terminal_leaver-secondary_school',43,'secondary','1'
'female',109,'Senior_cycle_terminal_leaver-secondary_school',71,'secondary','2'
'female',109,'3rd_level_complete',40,'secondary','2'
'female',104,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'male',123,'Senior_cycle_incomplete-vocational_school',36,'vocational','1'
'male',125,'3rd_level_complete',31,'secondary','2'
'male',127,'3rd_level_complete',37,'secondary','2'
'male',129,'3rd_level_complete',43,'secondary','2'
'male',119,'3rd_level_incomplete',69,'secondary','2'
'male',125,'Junior_cycle_terminal_leaver-vocational_school',71,'vocational','1'
'male',121,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',124,'Senior_cycle_terminal_leaver-secondary_school',36,'secondary','2'
'male',125,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'male',129,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'male',122,'Senior_cycle_terminal_leaver-secondary_school',62,'secondary','2'
'male',121,'3rd_level_incomplete',37,'secondary','2'
'male',129,'3rd_level_incomplete',?,'secondary','2'
'male',122,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'male',126,'Junior_cycle_terminal_leaver-vocational_school',51,'vocational','1'
'male',122,'3rd_level_complete',35,'secondary','2'
'male',123,'Senior_cycle_terminal_leaver-secondary_school',65,'secondary','2'
'male',119,'3rd_level_complete',71,'secondary','2'
'female',120,'3rd_level_complete',40,'secondary','2'
'female',127,'Junior_cycle_incomplete-vocational_school',35,'vocational','1'
'female',127,'Senior_cycle_terminal_leaver-secondary_school',62,'secondary','2'
'female',120,'Senior_cycle_terminal_leaver-secondary_school',61,'secondary','2'
'female',127,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'female',123,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',120,'3rd_level_complete',37,'secondary','2'
'female',123,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',122,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'female',119,'3rd_level_complete',37,'secondary','2'
'male',130,'Senior_cycle_incomplete-vocational_school',?,'vocational','1'
'male',134,'3rd_level_incomplete',62,'secondary','2'
'male',136,'3rd_level_complete',61,'secondary','2'
'male',135,'3rd_level_complete',61,'secondary','2'
'male',140,'3rd_level_complete',71,'secondary','2'
'male',131,'Senior_cycle_terminal_leaver-secondary_school',30,'secondary','2'
'male',137,'3rd_level_complete',62,'secondary','2'
'male',136,'3rd_level_complete',18,'secondary','2'
'male',132,'3rd_level_complete',37,'secondary','2'
'female',135,'3rd_level_complete',62,'secondary','2'
'female',134,'3rd_level_complete',?,'secondary','2'
